Empfänger-ID;NAME1;NAME2;STRASSE;PLZ;STADT;LAND
592029;Glaeser und Flaschen GmbH;;Bremer Ring 11;14641;Wustermark;DE
577006;Goebber GmbH;;"Werkszufaht "" Fruchtallee""";27324;Eystrup;DE
597114;GOOD FOOD GROUP A/S;;STORE GRUNDET ALLE 71;7100;VEJLE;DK
596001;GRAFSCHAFTER KRAUTFABRIK;JOSEF SCHMITZ KG;WORMERSDORFER STRASSE 22-26;53340;MECKENHEIM;DE
594091-28;GREENYARD PREPARED BELGIUM NV.;;INDUSTRIETERREIN KANAAL-NOORD 2002;3960;BREE;BE
596008-1;GUTDING GBR;AGAPI und RADO Rethmann;Dorfstr. 8;24635;Rickling;DE
599323;Gute Kulturen GmbH;;Meudelfitzer Bogen 9;29456;Hitzacker;DE
574102-2;H.Purrmann GmbH & Co KG;Spedition-Logistik-Lager;Billerbecker Str. 96-100;32839;Steinheim;DE
594091_36;HAINICH-KONSERVEN GMBH;;LANGULAER WEG 2;99986;VOGTEI OT NIEDERDORLA;DE
592032;HARTMUT BAUER e.K.;GROssHANDEL;BAUHOFRING 25;71732;TAMM;DE
592032-1;HARTMUT BAUER e.K.;GROSSHANDEL;BIETIGHEIMER STR. 60;71732;TAMM;DE
599004;Heidelbeerhof;;Am Wallberg 1;24616;Willenscharen;DE
531142;HENGSTENBERG GMBH & CO.KG;;METTINGER STRAssE 109;73728;ESSLINGEN;DE
531142-01;HENGSTENBERG GMBH & CO.KG;WERK BAD FRIEDRICHSHALL;KOCHERWALDSTRASSE 24;74177;BAD FRIEDRICHSHALL;DE
594078-1;HOCHLAND DEUTSCHLAND GMBH;;BERNBEURENER STR. 14;86956;SCHONGAU;DE
592005;HODUM GMBH;INDUSTRIEVERTRIEB;ULMER STR. 109;70188;STUTTGART;DE
534106;HOMANN FEINKOST GMBH;;BAHNHOSTRASSE 28;39326;ROGÄTZ;DE
534050;HueGLI NAHRUNGSMITTEL GMBH;;HERRENLANDSTR. 76;78315;RADOLFZELL;DE
578005;IMKEREI JULIUS SCHIESSER;;AM TUNNEL 11;61279;GRÄVENWIESBACH;DE
